empresa;cnpj;setor_naics3;subsetor_bovespa;data;ano;trimestre;variable_input;capital;receita;setor_ipa;fonte_mapeamento;peso_ipa;variable_input_nominal;capital_nominal;receita_nominal;setor_ipa_7d;nome_setor
ABEV;;indústria de bebidas;não classificado;1989-09-30 00:00:00;1989;3;0,517019352;0,596563369;0,41058424;202211000;exceção;0,015163;0,403894545;0,466034182;0,320747636;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1989-12-31 00:00:00;1989;4;2,086658938;1,820319005;2,126917017;202211000;exceção;0,015163;1,657476;1,445916727;1,689453818;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1990-03-31 00:00:00;1990;1;2,396067577;6,589443728;3,160931474;202211000;exceção;0,015163;1,950263636;5,363434909;2,572819636;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1990-06-30 00:00:00;1990;2;5,299343703;7,969370027;6,447048738;202211000;exceção;0,015163;4,332222909;6,514974182;5,270473818;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1990-09-30 00:00:00;1990;3;11,48351609;10,94088763;13,49366333;202211000;exceção;0,015163;9,435813091;8,989944364;11,08751745;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1990-12-31 00:00:00;1990;4;26,01800193;19,0816443;31,89096401;202211000;exceção;0,015163;21,52557709;15,78689273;26,38447818;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1991-03-31 00:00:00;1991;1;10,64692731;32,44594124;16,91045635;202211000;exceção;0,015163;8,8669;27,02140327;14,08324873;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1991-06-30 00:00:00;1991;2;27,02013381;41,22749888;34,3759041;202211000;exceção;0,015163;22,58695127;34,46331964;28,73586327;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1991-09-30 00:00:00;1991;3;58,05600271;64,00339569;74,77224083;202211000;exceção;0,015163;48,83852982;53,84166327;62,90075346;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1991-12-31 00:00:00;1991;4;159,2738964;225,7415812;197,5289546;202211000;exceção;0,015163;135,3306484;191,8064116;167,8349189;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1992-03-31 00:00:00;1992;1;89,06816716;434,5107141;102,9306706;202211000;exceção;0,015163;76,42248764;372,8199505;88,31682691;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1992-06-30 00:00:00;1992;2;313,8333681;778,2582025;321,7876296;202211000;exceção;0,015163;271,6020822;673,5311465;278,4859709;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1992-09-30 00:00:00;1992;3;833,8427691;1441,563854;858,2812713;202211000;exceção;0,015163;728,9530636;1260,228459;750,3174284;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1992-12-31 00:00:00;1992;4;2176,978807;2794,6301;2364,292377;202211000;exceção;0,015163;1922,056;2467,380727;2087,435273;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1993-03-31 00:00:00;1993;1;1070,726174;5765,263395;1214,586529;202211000;exceção;0,015163;955,912;5147,053091;1084,346182;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1993-06-30 00:00:00;1993;2;3948,528941;12123,67362;4423,813428;202211000;exceção;0,015163;3567,937818;10955,096;3997,410546;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1993-09-30 00:00:00;1993;3;13204,34242;27146,84639;15036,23514;202211000;exceção;0,015163;12092,10109;24860,18618;13769,688;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1993-12-31 00:00:00;1993;4;47180,22656;87062,65471;58178,77995;202211000;exceção;0,015163;43816,19927;80854,94509;54030,53782;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1994-03-31 00:00:00;1994;1;39664,63609;249142,2704;36103,38635;202211000;exceção;0,015163;37442,37018;235183,7313;34080,64436;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1994-06-30 00:00:00;1994;2;255176,223;761487,202;243682,3243;202211000;exceção;0,015163;244855;730687;233826;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1994-09-30 00:00:00;1994;3;497917,4781;912756,5089;507853,3881;202211000;exceção;0,015163;479731;879418;489304;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1994-12-31 00:00:00;1994;4;761437,9471;1035766,003;860269,8843;202211000;exceção;0,015163;734242;998772;829544;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1995-03-31 00:00:00;1995;1;218568,2027;1113838,791;280379,0446;202211000;exceção;0,015163;210899;1074756;270541;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1995-06-30 00:00:00;1995;2;473090,4984;1336593,143;569812,8104;202211000;exceção;0,015163;456855;1290724;550258;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1995-09-30 00:00:00;1995;3;754607,5719;1577566,735;932014,2668;202211000;exceção;0,015163;728977;1523984;900358;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1995-12-31 00:00:00;1995;4;1238941,089;1887119,044;1388258,953;202211000;exceção;0,015163;1197190;1823525;1341476;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1996-03-31 00:00:00;1996;1;290666,8627;2023009,876;374588,0503;202211000;exceção;0,015163;280989;1955653;362116;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1996-06-30 00:00:00;1996;2;571352,6476;2093755,926;718886,4388;202211000;exceção;0,015163;552629;2025142;695328;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1996-09-30 00:00:00;1996;3;881115,3176;2067246,722;1075317,765;202211000;exceção;0,015163;852398;1999871;1040271;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1996-12-31 00:00:00;1996;4;1254221,502;2188281,919;1543525,108;202211000;exceção;0,015163;1213597;2117403;1493530;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1997-03-31 00:00:00;1997;1;376857,6559;2249823,42;492490,6933;202211000;exceção;0,015163;364825;2177989;476766;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1997-06-30 00:00:00;1997;2;737473,3956;2249436,477;871960,1683;202211000;exceção;0,015163;714098;2178137;844322;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1997-09-30 00:00:00;1997;3;1124944,67;2303565,724;1314018,134;202211000;exceção;0,015163;1089392;2230764;1272490;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1997-12-31 00:00:00;1997;4;1609077,253;2405139,814;1949090,253;202211000;exceção;0,015163;1558663;2329784;1888023;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1998-03-31 00:00:00;1998;1;419122,1006;2451178,929;520255,9765;202211000;exceção;0,015163;406060;2374787;504042;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1998-06-30 00:00:00;1998;2;777296,4686;2622115,633;990576,8335;202211000;exceção;0,015163;753114;2540539;959759;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1998-09-30 00:00:00;1998;3;1158854,72;2767362,461;1473182,234;202211000;exceção;0,015163;1122704;2681034;1427226;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1998-12-31 00:00:00;1998;4;1764601,153;2736512,091;2123213,925;202211000;exceção;0,015163;1709752;2651453;2057218;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1999-03-31 00:00:00;1999;1;480182,4854;2774831,102;545975,595;202211000;exceção;0,015163;465782;2691615;529602;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1999-06-30 00:00:00;1999;2;859705,9735;2661849,514;1005169,43;202211000;exceção;0,015163;834012;2582295;975128;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1999-09-30 00:00:00;1999;3;1320438,476;2912781,106;1505949,552;202211000;exceção;0,015163;1281845;2827647;1461934;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;1999-12-31 00:00:00;1999;4;23294,64316;1444005,421;;202211000;exceção;0,015163;22633;1402991;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2000-03-31 00:00:00;2000;1;547556,8634;2553196,355;615488,3783;202211000;exceção;0,015163;532117;2481202;598133;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2000-06-30 00:00:00;2000;2;1021548,377;2628311,116;1162284,128;202211000;exceção;0,015163;993002;2554865;1129805;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2000-09-30 00:00:00;2000;3;47384,11659;3342433,21;;202211000;exceção;0,015163;46093;3251359;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2000-12-31 00:00:00;2000;4;60531,8144;3458243,73;;202211000;exceção;0,015163;58896;3364788;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2001-03-31 00:00:00;2001;1;7959,178901;3586026,241;;202211000;exceção;0,015163;7746;3489978;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2001-06-30 00:00:00;2001;2;13972,0283;3568352,706;;202211000;exceção;0,015163;13604;3474361;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2001-09-30 00:00:00;2001;3;16805,50687;3834313,444;;202211000;exceção;0,015163;16370;3734949;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2001-12-31 00:00:00;2001;4;31489,99996;4393772,961;;202211000;exceção;0,015163;30685;4281452;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2002-03-31 00:00:00;2002;1;1393,52451;4436750,127;;202211000;exceção;0,015163;1358;4323646;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2002-06-30 00:00:00;2002;2;3725,024085;4951311,859;;202211000;exceção;0,015163;3632;4827664;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2002-09-30 00:00:00;2002;3;8462,602752;4374152,364;;202211000;exceção;0,015163;8260;4269431;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2002-12-31 00:00:00;2002;4;14005,44568;4694848,113;;202211000;exceção;0,015163;13696;4591117;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2003-03-31 00:00:00;2003;1;2002,651123;5144695,275;;202211000;exceção;0,015163;1960;5035127;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2003-06-30 00:00:00;2003;2;2882,806444;5301903,098;;202211000;exceção;0,015163;2821;5188232;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2003-09-30 00:00:00;2003;3;14270,86559;5553902,532;;202211000;exceção;0,015163;13968;5436034;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2003-12-31 00:00:00;2003;4;29987,67678;5906176,005;;202211000;exceção;0,015163;29358;5782159;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2004-03-31 00:00:00;2004;1;13250,72281;6106825,027;;202211000;exceção;0,015163;12978;5981136;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2004-06-30 00:00:00;2004;2;15232,75743;6277948,118;;202211000;exceção;0,015163;14928;6152347;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2004-09-30 00:00:00;2004;3;17046,66548;20893680,62;;202211000;exceção;0,015163;16713;20484715;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2004-12-31 00:00:00;2004;4;11927,14715;20520795,85;;202211000;exceção;0,015163;11697;20124825;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2005-03-31 00:00:00;2005;1;2514,885586;20565639,47;;202211000;exceção;0,015163;2467;20174052;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2005-06-30 00:00:00;2005;2;529563,1554;23695713,53;701963,9646;202211000;exceção;0,015163;519464;23243819;688577;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2005-09-30 00:00:00;2005;3;2192483,439;22635973,51;2945837,96;202211000;exceção;0,015163;2150239;22199827;2889078;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2005-12-31 00:00:00;2005;4;4310879,816;22550708,62;5908890,927;202211000;exceção;0,015163;4228477;22119650;5795942;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2006-03-31 00:00:00;2006;1;1655655,232;22182064,61;2587823,568;202211000;exceção;0,015163;1624059;21758746;2538438;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2006-06-30 00:00:00;2006;2;3308883,983;21050427,68;4925674,38;202211000;exceção;0,015163;3246260;20652027;4832451;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2006-09-30 00:00:00;2006;3;4887630,009;24007908,61;7363009,057;202211000;exceção;0,015163;4795721;23556454;7224552;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2006-12-31 00:00:00;2006;4;6659920,128;24277373,25;10575598,84;202211000;exceção;0,015163;6536304;23826756;10379303;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2007-03-31 00:00:00;2007;1;1740759,515;23518280,71;2895822,195;202211000;exceção;0,015163;1708676;23084821;2842450;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2007-06-30 00:00:00;2007;2;3422555,572;21490833,37;5500299,95;202211000;exceção;0,015163;3359757;21096510;5399378;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2007-09-30 00:00:00;2007;3;5221434,781;21289805,73;8213225,872;202211000;exceção;0,015163;5127896;20908412;8066091;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2007-12-31 00:00:00;2007;4;7506513,238;20312960,83;11918706,18;202211000;exceção;0,015163;7375674;19958904;11710962;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2008-03-31 00:00:00;2008;1;2017241,669;20909510,1;2989591,426;202211000;exceção;0,015163;1982700;20551472;2938400;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2008-06-30 00:00:00;2008;2;3983536,719;21255181,48;5775112,126;202211000;exceção;0,015163;3918201;20906566;5680392;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2008-09-30 00:00:00;2008;3;5825982,408;22306611,16;8288498,793;202211000;exceção;0,015163;5731380;21944396;8153910;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2008-12-31 00:00:00;2008;4;8157467,579;23020357,1;11398008,51;202211000;exceção;0,015163;8025870;22648989;11214134;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2009-03-31 00:00:00;2009;1;1786844,58;22685769,19;2746854,027;202211000;exceção;0,015163;1757765;22316575;2702151;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2009-06-30 00:00:00;2009;2;3481887,382;22449201,06;5208671,431;202211000;exceção;0,015163;3425172;22083533;5123829;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2009-09-30 00:00:00;2009;3;5315467,8;21839390,72;7793519,674;202211000;exceção;0,015163;5228642;21482654;7666216;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2009-12-31 00:00:00;2009;4;7827280,088;22476853,81;11385276,45;202211000;exceção;0,015163;7699328;22109426;11199162;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2010-03-31 00:00:00;2010;1;2177729,016;27733948,81;3163954,36;202211000;exceção;0,015163;2143014;27291844;3113518;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2010-06-30 00:00:00;2010;2;4270681,659;28281060,06;5949645,954;202211000;exceção;0,015163;4204269;27841266;5857124;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2010-09-30 00:00:00;2010;3;6491187,518;29067781,47;8996840,321;202211000;exceção;0,015163;6392571;28626173;8860157;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2010-12-31 00:00:00;2010;4;9218253,585;29491102,67;12932928,75;202211000;exceção;0,015163;9082295;29056143;12742183;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2011-03-31 00:00:00;2011;1;2401710,234;29831940,16;3518202,535;202211000;exceção;0,015163;2367197;29403247;3467645;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2011-06-30 00:00:00;2011;2;4627651,86;31119690,53;6441511,266;202211000;exceção;0,015163;4561407;30674212;6349301;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2011-09-30 00:00:00;2011;3;7097752,627;33170763,83;9718593,822;202211000;exceção;0,015163;6997538;32702419;9581375;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2011-12-31 00:00:00;2011;4;10053921,76;34016824,5;14020628,29;202211000;exceção;0,015163;9912965;33539906;13824058;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2012-03-31 00:00:00;2012;1;2384428,301;35107166,78;3055216,083;202211000;exceção;0,015163;2351328;34619814;3012804;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2012-06-30 00:00:00;2012;2;4612751,634;36981225,84;5766558,139;202211000;exceção;0,015163;4550515;36482264;5688754;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2012-09-30 00:00:00;2012;3;7200328,85;39126161,91;9040392,582;202211000;exceção;0,015163;7107128;38619714;8923374;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2012-12-31 00:00:00;2012;4;10011767,41;40217338,5;13214480,61;202211000;exceção;0,015163;9883062;39700328;13044603;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2013-03-31 00:00:00;2013;1;2367,143677;;10753,94284;202211000;exceção;0,015163;2337;;10617;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2013-06-30 00:00:00;2013;2;5353693,124;44265353,72;6173940,551;202211000;exceção;0,015163;5286339;43708457;6096267;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2013-09-30 00:00:00;2013;3;7996823,321;42769326,83;9414366,394;202211000;exceção;0,015163;7898551;42243738;9298674;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2013-12-31 00:00:00;2013;4;3194,497134;43419464,35;;202211000;exceção;0,015163;3156;42896213;;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2014-03-31 00:00:00;2014;1;3455865,9;53398512,15;4655773,555;202211000;exceção;0,015163;3415626;52776743;4601562;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2014-06-30 00:00:00;2014;2;6891641,509;54382927,61;8705196,817;202211000;exceção;0,015163;6810733;53744467;8602997;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2014-09-30 00:00:00;2014;3;10319398,22;57699036,87;13238244,53;202211000;exceção;0,015163;10197520;57017577;13081893;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2014-12-31 00:00:00;2014;4;14388298,57;61567309,88;20247651,42;202211000;exceção;0,015163;14222911;60859619;20014913;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2015-03-31 00:00:00;2015;1;3874554,129;69261243,88;6008012,973;202211000;exceção;0,015163;3831415;68490092;5941120;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2015-06-30 00:00:00;2015;2;7363277,692;68586691,88;10636592,87;202211000;exceção;0,015163;7283497;67843559;10521346;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2015-09-30 00:00:00;2015;3;11094415,65;79330921,09;15544775,24;202211000;exceção;0,015163;10978194;78499875;15381933;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2015-12-31 00:00:00;2015;4;16463868,3;76749631,7;22329582,17;202211000;exceção;0,015163;16299730;75984468;22106965;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2016-03-31 00:00:00;2016;1;3985023,229;74389530,5;5065692,914;202211000;exceção;0,015163;3946932;73678471;5017272;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2016-06-30 00:00:00;2016;2;7889176,853;72011718,08;9796189,313;202211000;exceção;0,015163;7817453;71357029;9707128;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2016-09-30 00:00:00;2016;3;12072506,36;74854797,6;14474952,58;202211000;exceção;0,015163;11962888;74175116;14343520;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2016-12-31 00:00:00;2016;4;16602337,08;76183621,94;20820070,09;202211000;exceção;0,015163;16454115;75503471;20634193;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2017-03-31 00:00:00;2017;1;4280769,262;75653840,13;5256083,68;202211000;exceção;0,015163;4242626;74979736;5209250;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2017-06-30 00:00:00;2017;2;7946273,32;78854778,75;9730231,722;202211000;exceção;0,015163;7872210;78119812;9639541;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2017-09-30 00:00:00;2017;3;11992622,22;76229181,81;14644745,42;202211000;exceção;0,015163;11881853;75525095;14509480;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2017-12-31 00:00:00;2017;4;17153782,4;76083550,74;21927509,06;202211000;exceção;0,015163;16999556;75399498;21730363;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2018-03-31 00:00:00;2018;1;4199411,389;68321253,78;5061541,582;202211000;exceção;0,015163;4162469;67720229;5017015;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2018-06-30 00:00:00;2018;2;8561058,089;71688689,03;9996825,726;202211000;exceção;0,015163;8490915;71101324;9914919;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2018-09-30 00:00:00;2018;3;13114328,46;74588376,57;15562990,39;202211000;exceção;0,015163;13012581;74009683;15442245;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2018-12-31 00:00:00;2018;4;18562317,41;71859573,53;23400285,91;202211000;exceção;0,015163;18414568;71287597;23214028;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2019-03-31 00:00:00;2019;1;5229434,061;73984168,99;6809223,99;202211000;exceção;0,015163;5189682;73421771;6757463;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2019-06-30 00:00:00;2019;2;9922608,589;75587275,69;12591600,04;202211000;exceção;0,015163;9850059;75034616;12499536;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2019-09-30 00:00:00;2019;3;14739123,83;79170247,69;18517837,03;202211000;exceção;0,015163;14631327;78591224;18382404;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2019-12-31 00:00:00;2019;4;20744165,96;78612908,39;26768519,15;202211000;exceção;0,015163;20602198;78074901;26585322;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2020-03-31 00:00:00;2020;1;5320874,366;88906667,6;6256771,684;202211000;exceção;0,015163;5285851;88321461;6215588;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2020-06-30 00:00:00;2020;2;10390741,02;92795724,39;11721878,69;202211000;exceção;0,015163;10326579;92222718;11649497;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2020-09-30 00:00:00;2020;3;16678193,77;97763896,31;18814413,81;202211000;exceção;0,015163;16598746;97298191;18724790;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2020-12-31 00:00:00;2020;4;24390261,24;94652205,8;28265728,74;202211000;exceção;0,015163;24299745;94300936;28160830;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2021-03-31 00:00:00;2021;1;6761969,845;103614334,2;7600747,458;202211000;exceção;0,015163;6744729;103350151;7581368;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2021-06-30 00:00:00;2021;2;13604107,76;94729545;14504283,81;202211000;exceção;0,015163;13581045;94568952;14479695;2022100;Alimentos e bebidas
ABEV;;indústria de bebidas;não classificado;2021-09-30 00:00:00;2021;3;21230750,25;102055774,3;22620794,59;202211000;exceção;0,015163;21197174;101894374;22585020;2022100;Alimentos e bebidas
